Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,1297,,,,,,URBAN,,,,Visit 1,,,1297,No,,41,Male,No,Yes,Secondary Vocational Training complete/ certificate complete,,Cosmetic store,4,8,5,Receive money from migrant family members (Remittances),,Yes,17,Farming/agriculture,,Tax rates and state fees,,Lobbying and protection of interests,Partnership,Separate from resident,Other,Semi-permanent kiosk,Land phone line,Yes,3,3,1,,132,18,Between 26 - 50% customers are known,"Yes, sometimes",91-100%,2339,Deposit it in a bank account,,Agree somewhat,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Write it to my account book,No,No,Large store in nearby haaat,14,Credit,Credit,Cash & Credit both,Credit,Cash & Credit both,Cash & Credit both,Cash & Credit both,4-6 days a week,"No, never",Yes,Yes,5,31242,From friends,Disagree somewhat,Strongly disagree,2,1,3,No,,Use Facebook or other social networking site,Network connectivity problem / poor mobile service,No,"Yes, frequently",2-3 times a week,Once a week,Other,Often have to ask for more time or for a loan,Takes long time,,10,11,1,3,3,4,1,Business account,Yesterday,Bank Asia ltd.,Yes,Other,40,49,It is not permitted by my religion,No,Yes,,,Ucash,Merchant,,,Yesterday,Yes,2016,Don?t know/refuse,Once a month,Difficult,It takes too long for transaction /results to long lines,Yes,High charge,No,Yes,71-80%,91-100%,81-90%,,334,2561,754,Other,,"Yes, frequently",Rarely,"Yes, frequently",Rarely,"No, never",Rarely,"No, never",Rarely,,"Other, please specify",No,Business association,None,No,No,One,Brick/cement,Yes,One,Three or more,Yes,No
,1298,,,,,,RURAL,,,,Visit 1,,,1298,Yes,,16,Male,Yes,Yes,Primary Education,,Wholesale cum retail grocery shop,1,7,4,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,6,Farming/agriculture,,"Gender, ethnic and other social norms or psychological issues",,Business plan writing,Single proprietorship,Attached with residence,Other,Semi-permanent kiosk,Electronic Cash register,No,1,2,0,,146,38,Between 51 - 75% customers are known,Rarely,1-10%,1407,Don't have any money left at the end of the day,,Strongly agree,Agree somewhat,Strongly agree,Strongly disagree,Strongly disagree,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,Yes,Yes,Company distributor,20,Cash & Credit both,Credit,Cash,Cash,Cash & Credit both,Cash & Credit both,Credit,2-3 days a week,Rarely,No,No,1,,From friends,Agree somewhat,Strongly disagree,1,1,2,No,,Others,Do not face any problems,No,"No, never",Less than once a month,2-3 times a month,Cash,Sometimes have to ask for more time or for a loan,No trust on this service,,1,36,4,0,5,3,0,Personal account,In the past 7 days,Mutual Trust bank ltd.,No,Other,45,31,It is not permitted by my religion,No,No,,,MCash,Personal,,,In the past 7 days,Yes,2013,Highly increased,Once a week,Somewhat easy,It's difficult to get cash out from my balance,Yes,High charge,Yes,Yes,Don?t know,21-30%,0%,,1173,3882,461,It is free,,"Yes, sometimes","Yes, sometimes",Rarely,"Yes, sometimes",Rarely,Rarely,"Yes, frequently","No, never",,My phone or phone network is not working properly,Yes,Village level association (Informal),Two,No,No,One,Mud brick or C.I. sheet/wood,Yes,None,One,Yes,No
,1299,,,,,,RURAL,,,,Visit 2,,,1299,Yes,,53,Female,No,No,Primary Education,,Conrfectionery,1,8,3,Receive money from migrant family members (Remittances),,No,7,Farming/agriculture,,Not applicable,,"Accounting, taxation, bookkeeping",Partnership,Separate from resident,Rent,Semi-permanent kiosk,Computer,Yes,2,3,1,,153,67,Between 51 - 75% customers are known,"Yes, sometimes",41-50%,1881,Don?t know/refuse,,Agree somewhat,Strongly agree,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,Do not keep accounts daily,Write it to my account book,No,No,Wholesaler in wholesale market,19,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Credit,2-3 days a week,"No, never",Yes,No,5,95644,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,2,2,3,Yes,Smartphone,Made/receive calls,Do not face any problems,Yes,Rarely,Once a week,2-3 times a week,Mobile payment service,Often have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,4,44,1,1,0,1,3,Personal account,More than 90 days ago,EXIM bank,No,Mobile app/mobile banking,7,13,I have to pay tax,No,No,,,bKash,Merchant,,,More than 90 days ago,No,2013,Somewhat decreased,2-3 times a week,Somewhat difficult,It do not add any value to my business,Yes,Others,Yes,Yes,61-70%,0%,11-20%,,339,1968,1881,It is convenient,,"Yes, sometimes","No, never","Yes, frequently","Yes, frequently","Yes, sometimes","Yes, frequently","Yes, frequently","No, never",,Monthly transaction limits are too low,No,Co-opeartive,Two,Yes,No,None,Brick/cement,Yes,Three or more,One,Yes,Yes
,1300,,,,,,RURAL,,,,Visit 1,,,1300,Yes,,57,Female,Yes,No,Secondary education,,Other (Specify),3,5,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,6,Farming/agriculture,,Poor physical infrastructure,,Lobbying and protection of interests,Partnership,Attached with residence,Rent,Semi pucca shack,Computer,No,1,0,3,,254,11,Between 26 - 50% customers are known,"No, never",Don?t know,2715,Deposit it in a bKash/Rocket or any other mobile money account,,Strongly disagree,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly disagree,I keep my accounts by remembering,I keep my accounts by remembering,Yes,Yes,Wholesaler in wholesale market,7,Cash,Cash,Cash,Credit,Cash & Credit both,Cash,Cash & Credit both,4-6 days a week,Rarely,Yes,No,1,44813,From a village Level savings Group,Disagree somewhat,Strongly disagree,1,2,3,Yes,Smartphone,Transfer phone credit,Phone not working properly (other than connectivity issues),Yes,Rarely,Once a month,Less than once a month,Through my bank account,Sometimes have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,9,49,2,0,4,0,4,One account for both- personal and business,Yesterday,HSBC bank,Yes,Banks' website/online banking,25,32,I do not need a bank account,Yes,Yes,,,Rocket (DBBL),Personal,,,In the past 30 days,No,2017,Don?t know/refuse,Once a month,Difficult,Many customers do not have money in their MFS account,Yes,Supplier do not accept pyment through mobile payment system,No,Yes,81-90%,81-90%,61-70%,,1628,1226,1613,It is free,,"Yes, frequently","No, never",Rarely,Rarely,"Yes, sometimes",Rarely,"Yes, sometimes",Rarely,,Many customers do not have a MFS account,No,Village level association (Informal),None,No,Yes,One,"Hemp/hay/bamboo, or other",Yes,Two,One,Yes,Yes
,1301,,,,,,RURAL,,,,Visit 2,,,1301,No,,52,Female,Yes,No,Post-Graduate University,,Other (Specify),4,8,5,Pension,,No,20,Job/Paid employment,,"Gender, ethnic and other social norms or psychological issues",,Network,Single proprietorship,Separate from resident,Rent,Kutcha shack,Electronic Cash register,Yes,1,3,3,,100,77,Don't know,"Yes, sometimes",0%,2735,Give it to someone for safekeeping,,Strongly disagree,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Strongly disagree,Write it to my account book,Write it to my account book,Yes,No,Others,15,Cash,Cash & Credit both,Cash,Credit,Credit,Credit,Cash & Credit both,2-3 days a week,"No, never",Yes,No,1,18332,From a village Level savings Group,Disagree somewhat,Strongly disagree,3,1,3,No,,Send/Receive Email,Phone runs out of battery,No,"Yes, sometimes",Once a week,Once a week,Cash,Often have to ask for more time or for a loan,Fee is too high,,3,20,0,3,2,2,2,One account for both- personal and business,More than 90 days ago,Jamuna bank,No,Mobile app/mobile banking,22,40,There are no banks nearby my residence,No,Yes,,,Others,Personal,,,In the past 30 days,No,2014,Somewhat decreased,2-3 times a week,Somewhat difficult,Customers do not have trust on MFS account,No,Others,No,Yes,61-70%,61-70%,51-60%,,1757,3958,1815,It helps the store?s marketing or attracts more customers,,"No, never","Yes, sometimes","No, never","Yes, frequently","Yes, sometimes","Yes, sometimes",Rarely,"Yes, sometimes",,Customers do not have trust on MFS acccount,Yes,Others,One,Yes,No,One,Brick/cement,No,Three or more,Two,No,Yes
,1302,,,,,,URBAN,,,,Visit 1,,,1302,Yes,,41,Female,No,No,University Degree,,Wholesale cum retail grocery shop,4,8,2,Receive money from migrant family members (Remittances),,No,16,Other,,Hard to say,,Business plan writing,Partnership,Attached with residence,Other,Small room of pucca construction < 100 sqmts,Electronic Cash register,Yes,0,1,0,,125,41,Don't know,"Yes, sometimes",71-80%,2344,Keep it at store,,Strongly disagree,Disagree somewhat,Strongly agree,Strongly agree,Agree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Have a barcode scanner that automatically scans item and keeps accounts,No,Yes,Large store in nearby haaat,11,Cash & Credit both,Cash,Cash,Credit,Cash,Cash,Cash,2-3 days a week,"No, never",No,Yes,3,75549,From friends,Strongly disagree,Agree somewhat,3,1,1,Yes,Feature/basic/camera phone,Send/Receive SMS Text messages,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",2-3 times a week,Once a month,Cash,Other,Suppliers do not  want to receive payments through mobile money account,,2,32,4,1,4,0,4,Business account,In the past 7 days,HSBC bank,No,Mobile app/mobile banking,11,43,Registration fees and fees for using it are too high,No,No,,,MYCash,Personal,,,In the past 30 days,No,2017,Don?t know/refuse,2-3 times a week,Difficult,It's difficult to get cash out from my balance,Yes,High charge,No,Yes,1-10%,91-100%,41-50%,,1172,3458,403,Shorter lines/ customers have to wait less time,,Rarely,"No, never","Yes, sometimes",Rarely,"Yes, frequently","Yes, sometimes",Rarely,"Yes, frequently",,It's difficult to get cash out from my balance,No,Business association,Two,No,No,One,Mud brick or C.I. sheet/wood,No,None,None,No,No
,1303,,,,,,RURAL,,,,Visit 2,,,1303,Yes,,50,Male,Yes,Yes,Not Formal Education,,Conrfectionery,6,8,2,No Response,,No,19,Farming/agriculture,,Monitoring and inspections by regulatory bodies,,Network,Family business,Attached with residence,Rent,Large room(s) of pucca construction >100 sqmts,Electronic Cash register,No,1,1,0,,152,30,Between 51 - 75% customers are known,"Yes, sometimes",51-60%,1931,Deposit it in a bKash/Rocket or any other mobile money account,,Strongly disagree,Disagree somewhat,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,I keep my accounts by remembering,I keep my accounts by remembering,Yes,Yes,Wholesaler in wholesale market,18,Cash & Credit both,Cash & Credit both,Credit,Cash & Credit both,Cash,Cash & Credit both,Cash,Everyday,"Yes, sometimes",No,No,4,,From friends,Agree somewhat,Agree somewhat,1,3,2,No,,Use bKash mobile money transactions,Network connectivity problem / poor mobile service,No,"Yes, sometimes",2-3 times a week,2-3 times a week,Mobile payment service,Sometimes have to ask for more time or for a loan,The suppliers or I do not always have a working phone,,8,29,3,4,2,3,4,Business account,More than 90 days ago,Janata bank,No,Mobile app/mobile banking,13,17,I do not need a bank account,No,No,,,SureCash,Merchant,,,In the past 7 days,Yes,2012,Highly decreased,Once a week,Difficult,Fee is too high,Yes,Others,Yes,No,Don?t know,11-20%,31-40%,,468,4856,1233,It helps the store?s marketing or attracts more customers,,"No, never",Rarely,"No, never","Yes, sometimes","No, never","No, never","Yes, frequently","No, never",,I do not trust it,No,Village level association (Informal),One,Yes,No,One,"Hemp/hay/bamboo, or other",No,Three or more,Three or more,No,Yes
,1304,,,,,,URBAN,,,,Visit 2,,,1304,Yes,,50,Male,No,No,Primary Education,,Variety/General store,6,7,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,5,Other,,Monitoring and inspections by regulatory bodies,,Lobbying and protection of interests,Family business,Separate from resident,Other,Small room of pucca construction < 100 sqmts,Land phone line,Yes,1,3,0,,181,93,Between 26 - 50% customers are known,"Yes, regularly",91-100%,2227,Spend it immediately for personal expenses,,Strongly disagree,Agree somewhat,Strongly disagree,Agree somewhat,Strongly disagree,Disagree somewhat,I keep my accounts by remembering,Do not keep accounts daily,Yes,No,Others,15,Credit,Credit,Cash & Credit both,Cash & Credit both,Cash,Cash & Credit both,Cash & Credit both,4-6 days a week,Rarely,Yes,No,3,78330,From friends,Strongly disagree,Disagree somewhat,1,1,1,Yes,Smartphone,Transfer phone credit,Phone not working properly (other than connectivity issues),No,"Yes, sometimes",Less than once a month,Once a month,Through my bank account,Sometimes have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,10,37,0,4,1,2,3,One account for both- personal and business,In the past 7 days,Uttara bank,Yes,Other,55,39,Others,No,No,,,SureCash,Merchant,,,In the past 30 days,No,2016,Somewhat decreased,Once a month,Difficult,It's difficult to get cash out from my balance,No,Supplier do not accept pyment through mobile payment system,No,Yes,21-30%,91-100%,21-30%,,332,3873,1422,It is safer than cash money,,"Yes, sometimes",Rarely,"Yes, sometimes","Yes, frequently",Rarely,"Yes, sometimes","Yes, frequently",Rarely,,Many customers do not have a MFS account,No,Others,None,No,Yes,None,Brick/cement,No,One,Three or more,Yes,No
,1305,,,,,,RURAL,,,,Visit 2,,,1305,Yes,,70,Male,Yes,Yes,Others,,Retail grocery shop,6,8,4,Others,,No,15,Other,,Other please describe,,Technical training,Family business,Attached with residence,Rent,Small room of pucca construction < 100 sqmts,Internet connection,No,3,3,1,,131,71,Between 51 - 75% customers are known,"Yes, regularly",0%,1056,Give it to someone for safekeeping,,Strongly agree,Strongly agree,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Do not keep accounts daily,Yes,Yes,Company distributor,12,Credit,Credit,Cash & Credit both,Cash & Credit both,Cash,Credit,Cash & Credit both,4-6 days a week,"Yes, sometimes",No,No,3,,From friends,Disagree somewhat,Disagree somewhat,2,3,1,No,,Use bKash mobile money transactions,Network connectivity problem / poor mobile service,Yes,"No, never",Once a month,Once a week,Mobile payment service,I always pay on time,Suppliers do not  want to receive payments through mobile money account,,6,25,3,4,3,5,2,One account for both- personal and business,In the past 90 days,Sonali bank,Yes,Banks' website/online banking,24,45,I have to pay tax,No,Yes,,,Ucash,Personal,,,In the past 30 days,No,2013,Don?t know/refuse,2-3 times a week,Difficult,It's difficult to get cash out from my balance,Yes,Supplier do not accept pyment through mobile payment system,Yes,No,Don?t know,Don?t know,Don?t know,,688,3618,1706,It is possible to pay remote payments through this,,Rarely,"Yes, sometimes",Rarely,"No, never","Yes, sometimes",Rarely,"Yes, frequently","Yes, sometimes",,Customers do not have trust on MFS acccount,No,Micro-credit group,Three or more,No,Yes,Three or more,Brick/cement,No,None,Two,No,No
,1306,,,,,,URBAN,,,,Visit 1,,,1306,No,,54,Female,Yes,No,Others,,Cosmetic store,7,7,4,Receive money from migrant family members (Remittances),,Yes,17,Job/Paid employment,,"Gender, ethnic and other social norms or psychological issues",,Network,Family business,Separate from resident,Rent,Large room(s) of pucca construction >100 sqmts,Business Cellphone (separate from owner?s personal),No,3,0,0,,182,79,Between 51 - 75% customers are known,Rarely,91-100%,1357,Keep it at store,,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Strongly disagree,Agree somewhat,Manually enter in the computer,Write it to my account book,Yes,No,Directly from the company/manufacturer,10,Cash,Cash,Credit,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Everyday,"Yes, sometimes",Yes,No,5,23100,From friends,Strongly disagree,Disagree somewhat,2,2,1,No,,Send/Receive SMS Text messages,Do not face any problems,Yes,Rarely,2-3 times a week,Once a week,Cash,Other,It's difficult/inconvenient to use,,3,36,2,3,1,2,3,Personal account,In the past 7 days,Mutual Trust bank ltd.,No,Mobile app/mobile banking,14,49,I do not need a bank account,No,No,,,Ucash,Merchant,,,In the past 7 days,No,2013,Highly increased,2-3 times a month,Somewhat difficult,Other,Yes,Supplier do not accept pyment through mobile payment system,Yes,Yes,21-30%,41-50%,21-30%,,388,1758,1912,It is free,,"Yes, frequently","Yes, frequently",Rarely,"No, never","No, never",Rarely,"No, never",Rarely,,Many customers do not have money in their MFS account,No,Micro-credit group,One,No,No,Three or more,Brick/cement,No,Two,Two,Yes,No
,1307,,,,,,RURAL,,,,Visit 2,,,1307,Yes,,21,Male,Yes,Yes,Post-Graduate University,,Variety/General store,5,5,2,Receive money from migrant family members (Remittances),,Yes,10,Job/Paid employment,,Not applicable,,"Legal support, Issues related registering and licensing of business",Family business,Separate from resident,Other,Small room of pucca construction < 100 sqmts,Electronic Cash register,Yes,2,0,0,,105,88,Between 76% - 100% customers are known,Rarely,Don?t know,2916,Don?t know/refuse,,Strongly disagree,Strongly disagree,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly disagree,Write it to my account book,Have a barcode scanner that automatically scans item and keeps accounts,No,No,Others,8,Cash,Credit,Cash,Cash & Credit both,Cash & Credit both,Cash,Cash,Everyday,"No, never",Yes,No,3,14805,From friends,Disagree somewhat,Agree somewhat,2,1,1,No,,Checked phone credit balance,Network connectivity problem / poor mobile service,No,"Yes, frequently",Once a month,Less than once a month,Through my bank account,I always pay on time,Transaction limit is too low,,8,13,0,3,0,1,0,Business account,In the past 30 days,Standard Chartered bank,No,Banks' website/online banking,16,37,I like to transact in cash,No,No,,,Others,Merchant,,,In the past 30 days,Yes,2017,Don?t know/refuse,2-3 times a month,Difficult,Fee is too high,Yes,Others,Yes,No,51-60%,91-100%,11-20%,,1019,4877,1480,Shorter lines/ customers have to wait less time,,"No, never","No, never","No, never",Rarely,"Yes, sometimes","Yes, frequently","No, never","Yes, sometimes",,Monthly transaction limits are too low,Yes,Micro-credit group,Three or more,Yes,No,One,Mud brick or C.I. sheet/wood,Yes,One,One,Yes,Yes
,1308,,,,,,RURAL,,,,Visit 2,,,1308,No,,40,Female,No,No,Others,,Retail grocery shop,5,8,2,Work for someone else (Wage employment),,Yes,2,Other,,Not applicable,,"Legal support, Issues related registering and licensing of business",Family business,Attached with residence,Other,Semi pucca shack,Land phone line,Yes,2,3,1,,258,54,Between 76% - 100% customers are known,"No, never",1-10%,392,Spend it immediately for personal expenses,,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Manually enter in the computer,Do not keep accounts daily,Yes,No,Large store in same/nearby area,19,Cash & Credit both,Cash,Cash,Cash,Cash & Credit both,Cash,Cash & Credit both,2-3 days a week,Rarely,No,No,2,,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,1,3,1,No,,Use Facebook or other social networking site,Do not face any problems,No,"No, never",2-3 times a week,Once a month,Other,Often have to ask for more time or for a loan,Takes long time,,9,18,1,0,1,1,1,Personal account,Yesterday,Sonali bank,Yes,Mobile app/mobile banking,58,48,There are no banks nearby my residence,No,No,,,bKash,Merchant,,,Yesterday,Yes,2013,Somewhat increased,Once a month,Difficult,My phone or phone network is not working properly,Yes,Supplier do not accept pyment through mobile payment system,Yes,No,11-20%,71-80%,0%,,1648,3257,1047,It is safer than cash money,,"No, never","Yes, sometimes","Yes, frequently","Yes, frequently","No, never",Rarely,Rarely,"Yes, frequently",,I need cash money to run my business,No,Others,Three or more,No members at age 6-to-12,Yes,One,Brick/cement,Yes,None,Two,Yes,No
,1309,,,,,,URBAN,,,,Visit 1,,,1309,Yes,,47,Male,No,No,Primary Education,,Retail grocery shop,3,6,3,Work for someone else (Wage employment),,No,6,Other,,Access to finance,,Network,Family business,Attached with residence,Other,Semi-permanent kiosk,Business Cellphone (separate from owner?s personal),Yes,2,0,1,,231,89,Between 26 - 50% customers are known,"No, never",0%,2438,Keep it at store,,Strongly disagree,Agree somewhat,Agree somewhat,Agree somewhat,Strongly agree,Agree somewhat,Write it to my account book,I keep my accounts by remembering,No,Yes,Company distributor,11,Cash & Credit both,Cash & Credit both,Cash,Credit,Cash,Cash & Credit both,Cash & Credit both,4-6 days a week,Rarely,No,Yes,5,35879,From a village Level savings Group,Disagree somewhat,Strongly disagree,3,1,1,Yes,Feature/basic/camera phone,Send/Receive SMS Text messages,Phone runs out of battery,Yes,"Yes, sometimes",Once a week,Once a week,Mobile payment service,Often have to ask for more time or for a loan,Takes long time,,7,13,3,2,2,1,5,Personal account,In the past 7 days,Dhaka bank,Yes,Banks' website/online banking,21,24,I do not need a bank account,No,Yes,,,Others,Merchant,,,In the past 7 days,No,2012,Don?t know/refuse,Daily,Somewhat easy,It takes too long for transaction /results to long lines,No,Others,Yes,Yes,1-10%,81-90%,1-10%,,781,2838,402,It helps the store?s marketing or attracts more customers,,Rarely,"Yes, frequently","Yes, frequently","No, never","Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes",,Customers do not have trust on MFS acccount,No,Business association,One,No,Yes,One,Brick/cement,Yes,One,Three or more,No,Yes
,1310,,,,,,URBAN,,,,Visit 1,,,1310,Yes,,50,Female,No,Yes,Secondary education,,Variety/General store,3,6,5,Others,,Yes,2,Farming/agriculture,,Poor physical infrastructure,,Finding and advise on equipment and technology,Family business,Attached with residence,Rent,Permanent kiosk,Business Cellphone (separate from owner?s personal),No,0,2,1,,140,39,Up to 25% customers are known,"Yes, sometimes",0%,766,Deposit it in a bKash/Rocket or any other mobile money account,,Strongly disagree,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Strongly agree,Write it to my account book,Write it to my account book,No,Yes,Large store in same/nearby area,11,Credit,Cash & Credit both,Credit,Cash,Credit,Cash,Cash & Credit both,2-3 days a week,"Yes, sometimes",No,Yes,3,82710,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,3,1,3,Yes,Feature/basic/camera phone,Checked phone credit balance,Ran out of balance (airtime),No,"Yes, sometimes",Once a month,Less than once a month,Cash,I always pay on time,I do not trust system,,10,19,5,4,3,5,0,Business account,In the past 30 days,HSBC bank,No,Mobile app/mobile banking,25,38,It is not permitted by my religion,No,Yes,,,Ucash,Personal,,,Yesterday,Yes,2016,Highly decreased,2-3 times a month,Somewhat difficult,Other,No,Others,Yes,No,71-80%,Don?t know,61-70%,,820,593,366,It is convenient,,"Yes, frequently","Yes, frequently","Yes, frequently","Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes",Rarely,,Customers do not have trust on MFS acccount,No,Business association,One,No,No,None,"Hemp/hay/bamboo, or other",Yes,Two,Three or more,Yes,Yes
,1311,,,,,,URBAN,,,,Visit 1,,,1311,Yes,,33,Female,No,Yes,University Degree,,Wholesale cum retail grocery shop,2,7,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,1,Other,,Energy connection,,"Legal support, Issues related registering and licensing of business",Partnership,Separate from resident,Own,Kutcha shack,Business Cellphone (separate from owner?s personal),No,3,0,2,,248,61,Up to 25% customers are known,"Yes, regularly",91-100%,1555,Spend it immediately for personal expenses,,Disagree somewhat,Strongly disagree,Strongly disagree,Disagree somewhat,Agree somewhat,Agree somewhat,I keep my accounts by remembering,Manually enter in the computer,No,Yes,Wholesaler in wholesale market,16,Cash,Cash & Credit both,Credit,Credit,Cash,Cash & Credit both,Cash & Credit both,Everyday,"No, never",Yes,Yes,3,8415,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,2,2,2,Yes,Feature/basic/camera phone,Transfer phone credit,Phone not working properly (other than connectivity issues),No,"Yes, sometimes",Less than once a month,Once a week,Through my bank account,Often have to ask for more time or for a loan,Transaction limit is too low,,7,25,4,0,5,3,5,Personal account,In the past 90 days,City bank ltd.,Yes,Mobile app/mobile banking,51,25,There are no banks nearby my residence,Yes,Yes,,,bKash,Merchant,,,More than 90 days ago,Yes,2017,Highly increased,Once a month,Difficult,Customers do not have trust on MFS account,Yes,High charge,No,No,91-100%,51-60%,0%,,534,2550,344,Shorter lines/ customers have to wait less time,,"Yes, sometimes","Yes, frequently",Rarely,Rarely,"Yes, frequently","No, never",Rarely,"Yes, frequently",,Many customers do not have a MFS account,Yes,Village level association (Informal),Three or more,Yes,No,Three or more,Brick/cement,Yes,Three or more,One,Yes,Yes
